Date,X04,X07,X09,X10,Y03a,Y03b,Y03aCAT,Y03bCAT
6/28/2024,0.529224,0.001465,77.098816,-33.734116,0.011304,0.013848,B,B
6/27/2024,1.096346,0.00219,78.109314,-11.364904,0.000097,0.005053,H,H
6/26/2024,1.098952,0.002199,70.708908,-16.055214,0.001615,0.006129,H,H
6/25/2024,1.144097,0.002244,70.579033,-16.412508,0.002193,0.006666,H,H
6/24/2024,0.991149,0.002043,71.479141,-22.907675,0.005624,0.010213,H,H
6/21/2024,1.272247,0.002404,67.599236,-15.627435,0.001049,0.006525,H,H
6/20/2024,1.572515,0.002734,67.085907,-9.774393,-0.00149,0.003703,H,H
6/18/2024,2.000564,0.003121,70.344826,-0.286896,-0.003767,0.000565,H,H
6/17/2024,2.174317,0.003061,69.725662,-4.476502,0.000147,0.003177,H,H
6/14/2024,1.90998,0.002558,67.140976,-4.942897,0.008035,0.010833,H,H
6/13/2024,2.175606,0.002628,65.17672,-6.632905,0.006163,0.010612,H,H
6/12/2024,2.440615,0.002606,69.124428,-10.60406,0.006005,0.011508,H,H
6/11/2024,1.825969,0.002047,67.757462,-0.756723,0.012365,0.018826,B,B
6/10/2024,1.671221,0.00197,66.889053,-6.568891,0.010536,0.019347,B,B
6/7/2024,1.394189,0.001807,66.032951,-16.011806,0.010328,0.020842,B,B
6/6/2024,1.672639,0.002017,69.282623,-4.713319,0.005574,0.01753,H,B
6/5/2024,1.798493,0.00214,69.4813,0,0.003491,0.015633,H,B
6/4/2024,0.57615,0.001263,65.170708,-31.458227,0.014317,0.026275,B,B
6/3/2024,0.519901,0.001245,68.742279,-35.825344,0.010772,0.025017,B,B
5/31/2024,0.486457,0.00124,72.319473,-39.74836,0.008283,0.023753,B,B
5/30/2024,-0.085733,0.000621,72.385941,-77.016068,0.01427,0.030378,B,B
5/29/2024,0.45683,0.001251,75.261009,-41.860416,0.002731,0.020581,H,B
5/28/2024,0.911271,0.001932,69.02581,-17.404469,-0.005234,0.011449,H,H
5/24/2024,0.964277,0.001984,69.805199,-19.769444,-0.002691,0.011168,H,H
5/23/2024,0.705687,0.001548,70.604507,-36.048397,0.004999,0.016978,H,B
5/22/2024,1.163545,0.002275,73.058052,-7.32163,-0.004124,0.007815,H,H
5/21/2024,1.437691,0.002649,74.707359,-0.441339,-0.005648,0.004143,H,H
5/20/2024,1.474678,0.002563,76.873093,-4.889551,-0.001087,0.006448,H,H
